scaled_age	scaled_age_cumulative (cal yr bp)	d15N	TON	par_erica	par_betula	par_pinus	par_quercus
0	0	2.19	1.81	88.59400268	14958.24576	162.5896279	81.29481393
0.197101449	197.101449	2.08	1.87	177.188007	19579.27477	531.564021	88.5940035
0.194202899	391.304348	1.93	1.9	940.0808149	28515.78472	522.2671194	66.82708859
0.197101449	588.405797	1.62	2.08	668.2709281	20716.39877	334.135464	66.82709281
0.252173913	840.57971	1.62	2.24	1081.393543	30639.48372	180.2322572	270.3483857
0.275362319	1115.942029	1.72	2.09	1145.366767	24379.94976	736.3072076	81.81191195
0.275362319	1391.304348	1.86	1.99	1476.21318	21510.5349	351.4793285	47.33354296
0.27826087	1669.565218	1.55	2.39	991.8989049	24053.54844	578.6076945	82.65824208
0.275362319	1944.927537	1.69	2.24	1443.063624	22367.48618	160.3404027	320.6808054
0.27826087	2223.188407	1.81	2.36	865.3750976	24143.96522	86.53750976	259.6125293
0.275362319	2498.550726	1.95	2.32	913.5902252	25995.79459	83.05365684	249.1609705
0.275362319	2773.913045	1.11	2.1	709.2518632	13416.68108	118.2086439	118.2086439
0.417391304	3191.304349	1.2	2.12	724.5870386	17390.08893	120.7645064	241.5290129
0.275362319	3466.666668	1.01	2.23	360.3457047	13693.13678	180.1728523	120.1152349
0.275362319	3742.028987	1.52	2.35	639.7326827	16091.73748	147.6306191	295.2612382
0.27826087	4020.289857	1.12	2.42	827.460507	16371.89717	591.0432193	591.0432193
0.275362319	4295.652176	1.67	2.45	1037.716865	15626.79515	854.5903597	305.2108428
0.27826087	4573.913046	1.53	2.6	978.4569499	15981.46352	978.4569499	271.7935972
0.275362319	4849.275365	0.91	2.69	270.6570323	6840.241362	934.9970207	49.21036951
0.571014493	5420.289858	0.55	2.77	260.9100509	7018.480369	3626.649708	130.4550255
0.573913043	5994.202901	0.04	2.74	222.4601487	4152.589442	7464.773877	148.3067658
0.571014493	6565.217394	-0.55	2.69	180.4037763	2999.212781	6720.040668	45.10094408
0.571014493	7136.231887	0	2.73	301.7227963	2896.538844	9383.578965	271.5505167
0.573913043	7710.14493	-0.41	3.13	530.1436126	2915.789869	11066.74791	231.9378305
1	8710.14493	-0.73	3.07	511.3009695	4473.883483	15424.24591	511.3009695
0.614492754	9324.637684	-1.29	2.95	446.7752521	3952.242615	10275.8308	481.1425792
0.64057971	9965.217394	-1.59	2.92	1110.16728	4995.752758	19181.22355	678.4355598
0.637681159	10602.89855	-0.16	2.97	93.30646291	7791.089653	8584.194588	279.9193887
0.64057971	11243.47826	0.11	2.72	265.6810584	9232.416778	12088.48816	597.7823813
0.64057971	11884.05797	-0.17	2.34	227.2286803	8293.84683	6476.017387	1249.757741
0.64057971	12524.63768	-0.16	2.58	450.5026642	7883.796623	8841.114785	3491.395648
0.637681159	13162.31884	-0.38	2.42	175.5857984	9540.161712	4448.173559	3219.07297
0.64057971	13802.89855	-0.75	2.75	129.519516	6950.88069	3971.931823	2633.563491
0.64057971	14443.47826	-0.57	2.8	185.7157483	6732.195876	3342.883469	2182.160042
0.637681159	15081.15942	-0.46	2.7	27.12450571	10390.67858	3239.44685	3606.176682
0.64057971	15721.73913	0.19	2.48	201.1920606	6806.998052	704.1722123	2011.920606